500-days-of-summer,marc-webb,joseph-gordon-levitt zooey-deschanel chloe-grace-moretz geoffrey-arend matthew-gray-gubler clark-gregg patricia-belcher rachel-boston minka-kelly ian-reed-kesler valente-rodriguez yvette-nicole-brown nicole-vicius charles-walker-2 darryl-alan-reed gregory-thompson natalie-boren maile-flanagan darryl-sivad sybil-azur rebecca-lin alejandro-estornel nadine-ellis anthony-marciona katie-malia ryan-thomas-3 christian-vincent-1 tracy-phillips bryan-anthony-1 reshma-gajjar tiffany-granath jennifer-hamilton alexandra-nicole-hulme kenneth-hughes christopher-martinez-3 vivian-nixon nathan-prevost gelsey-weiss jennifer-lee-keyes gus-carr
2001-a-space-odyssey,stanley-kubrick,keir-dullea gary-lockwood william-sylvester douglas-rain daniel-richter leonard-rossiter margaret-tyzack robert-beatty sean-sullivan frank-miller-4 ed-bishop edwina-carroll heather-downham penny-brahms maggie-dabo chela-matthison judy-kiern alan-gifford ann-gillis vivian-kubrick kenneth-kendall kevin-scott-1 martin-amor bill-weston glenn-beck-1 mike-lovell-1 john-ashley-2 jimmy-bell david-charkham simon-davis jonathan-daw peter-delmar terry-duggan-1 david-fleetwood danny-grover brian-hawley david-hines tony-jackson-1 john-jordan scott-mackee laurence-marchant darryl-paes joe-refalo andy-wallace bob-wilyman richard-woods-1 s-newton-anderson sheraton-blount ann-bormann julie-croft penny-francis marcella-markham irena-marr krystyna-marr kim-neil jane-pearl penny-pearl burnell-tucker john-swindells-1 john-clifford
20000-leagues-under-the-sea-1954,richard-fleischer,kirk-douglas james-mason paul-lukas peter-lorre robert-j-wilke ted-de-corsia carleton-young j-m-kerrigan percy-helton ted-cooper gloria-pall-1 ron-nyman fred-graham harry-harvey-1 charles-grodin harper-goff eddie-marr jack-gargan john-daheim jack-stoney
abbott-and-costello-meet-dr-jekyll-and-mr-hyde,charles-lamont,bud-abbott lou-costello boris-karloff craig-stevens helen-westcott reginald-denny john-dierkes eddie-parker patti-mckaye betty-tyler lucille-lamarr dante-de-paolo carmen-de-lavallade maisay-kawasuma henry-coden marjorie-bennett isabelle-dwan james-fairfax harry-wilson
abbott-and-costello-meet-frankenstein,charles-barton,bud-abbott lou-costello lon-chaney-jr bela-lugosi glenn-strange jane-randolph frank-ferguson charles-bradstreet george-barton lenore-aubert vincent-price bobby-barber joe-kirk harry-brown-1 howard-negley carl-sklover helen-spring paul-stader clarence-straight joe-walls
abbott-and-costello-meet-the-invisible-man,charles-lamont,bud-abbott lou-costello nancy-guild arthur-franz adele-jergens sheldon-leonard william-frawley gavin-muir sam-balter syd-saylor billy-wayne john-daheim george-j-lewis bobby-barber
abbott-and-costello-meet-the-mummy,charles-lamont,bud-abbott lou-costello marie-windsor michael-ansara dan-seymour richard-deacon kurt-katch richard-karlan peggy-king
across-the-universe,julie-taymor,evan-rachel-wood jim-sturgess joe-anderson-3 dana-fuchs martin-luther tv-carpio spencer-liff lisa-hogg nicholas-lumley michael-ryan angela-mounsey erin-elliott robert-clohessy christopher-tierney curtis-holbrook bill-buell ellen-hornberger dylan-baker linda-emond lynn-cohen bill-irwin jennifer-van-dyck timmy-mitchum orfeh antonique-smith deidre-goodwin joe-cocker jacob-pitts daniel-stewart-sherman harry-lennix logan-marshall-green james-urbaniak bono eddie-izzard salma-hayek mandy-gonzalez destan-owens cicily-daniels-1 saycon-sengbloh-1 sam-kitchin chris-mcgarry frank-hopf karine-plantadit william-atkinson ted-lochwyn angela-cohen kevin-stea robert-myers
adaptation,spike-jonze,nicolas-cage meryl-streep chris-cooper tilda-swinton cara-seymour ron-livingston brian-cox-2 judy-greer maggie-gyllenhaal jay-tavare jim-beaver litefoot doug-jones gary-farmer roger-willie peter-jason gregory-itzin curtis-hanson sandra-lee-gimpel bob-stephenson lisa-love-3 curt-clendenin john-malkovich catherine-keener john-cusack donald-dowd
the-adventures-of-baron-munchausen,terry-gilliam,john-neville eric-idle sarah-polley oliver-reed charles-mckeown winston-dennis jack-purvis valentina-cortese jonathan-pryce bill-paterson peter-jeffrey uma-thurman alison-steadman don-henderson-1 robin-williams sting jose-lifante terry-gilliam
airplane,jerry-zucker jim-abrahams,robert-hays julie-hagerty kareem-abdul-jabbar lloyd-bridges peter-graves leslie-nielsen lorna-patterson robert-stack stephen-stucker jim-abrahams frank-ashmore jonathan-banks craig-berenson barbara-billingsley lee-bryant joyce-bulifant mae-e-campbell ethel-merman jimmie-walker jill-whelan kitten-natividad nora-meerbaum kenneth-tobey james-hong michelle-stacy david-leisure
jamaica-inn,alfred-hitchcock,charles-laughton horace-hodges maureen-ohara hay-petrie frederick-piper emlyn-williams herbert-lomas jeanne-de-casalis basil-radford leslie-banks marie-ney wylie-watson morland-graham mervyn-johns robert-newton marie-ault john-longden aubrey-mather william-devlin clare-greet mabel-terry-lewis a-bromley-davenport george-curzon edwin-greenwood stephen-haggard robert-adair ob-clarence-1 william-fazan archie-harradine mary-jerrold harry-lane sam-lee-1 alan-lewis philip-ray a-george-smith
sabotage,alfred-hitchcock,sylvia-sidney oskar-homolka desmond-tester john-loder joyce-barbour matthew-boulton s-j-warmington william-dewhurst clare-greet aubrey-mather austin-trevor-1 charles-hawtrey martita-hunt torin-thatcher peter-bull-1
the-39-steps,alfred-hitchcock,robert-donat madeleine-carroll lucie-mannheim godfrey-tearle peggy-ashcroft john-laurie helen-haye frank-cellier wylie-watson gus-mcnaughton jerry-verno peggy-simpson matthew-boulton pat-hagate alfred-hitchcock carleton-hobbs elizabeth-inglis quinton-mcpherson frederick-piper hilda-trevelyan
easy-virtue,alfred-hitchcock,isabel-jeans franklin-dyall eric-bransby-williams ian-hunter robin-irvine violet-farebrother frank-elliott dacia-deane dorothy-boyd enid-stamp-taylor alfred-hitchcock benita-hume
alien,ridley-scott,tom-skerritt sigourney-weaver veronica-cartwright harry-dean-stanton john-hurt ian-holm yaphet-kotto bolaji-badejo helen-horton eddie-powell-3
all-about-eve,joseph-l-mankiewicz,bette-davis anne-baxter george-sanders celeste-holm gary-merrill hugh-marlowe gregory-ratoff thelma-ritter marilyn-monroe barbara-bates walter-hampden randy-stuart craig-hill leland-harris barbara-white william-pullen claude-stroud eugene-borden helen-mowery steven-geray bess-flowers colin-kenny harold-miller frank-baker franklyn-farnum william-h-obrien
all-that-jazz,bob-fosse,roy-scheider jessica-lange leland-palmer ann-reinking ben-vereen cliff-gorman erzsebet-foldi michael-tolan max-wright william-lemassena irene-kane deborah-geffner kathryn-doby-1 anthony-holland robert-hitt david-margulies sue-paul keith-gordon frankie-man alan-heim john-lithgow sandahl-bergman cch-pounder wallace-shawn nicole-fosse
amadeus,milos-forman,f-murray-abraham tom-hulce elizabeth-berridge roy-dotrice simon-callow christine-ebersole jeffrey-jones barbara-bryne cynthia-nixon douglas-seale charles-kay kenny-baker martin-cavina roderick-cook-1 milan-demjanenko peter-digesu patrick-hines nicholas-kepros philip-lenkowsky-1 lisbeth-bartlett richard-frank herman-meckler jonathan-moore-1 brian-pettifer vincent-schiavelli john-strauss karl-heinz-teuber miro-grisa karel-gult ladislav-krecmer karel-fiala john-carrafa hana-brejchova miriam-chytilova karel-effa rene-gabzdyl karel-habl jiri-krytinar jan-kuzelka jiri-lir jitka-molavcova pavel-novy jan-pohan tereza-pokorna-herzova ivan-pokorny milan-riehs dana-vavrova june-anderson isobel-buchanan anne-howells robin-leggate felicity-lott alexander-oliver samuel-ramey richard-stilwell john-tomlinson willard-white michele-esposito zdenek-mahler vladimir-svitacek jana-musilova kenneth-mcmillan cassie-stuart rita-zohar
american-beauty,sam-mendes,kevin-spacey annette-bening thora-birch wes-bentley mena-suvari chris-cooper allison-janney peter-gallagher scott-bakula sam-robards barry-del-sherman john-cho hal-fort-atkinson kent-faulcon ara-celi sue-casey brenda-wehle lisa-cloud amber-smith joel-mccrary marissa-jaret-winokur dennis-anderson matthew-kimbrough erin-cathryn-strubbe alison-faulk krista-goodsitt lily-houtkin carolina-lancaster mona-leah chekesha-van-putten emily-zachary nancy-anderson-1 reshma-gajjar stephanie-rizzo heather-joy-sher chelsea-hertford elaine-corral-kendall david-c-fisher tom-miller bruce-cohen
