blood-diamond,edward-zwick,leonardo-dicaprio djimon-hounsou jennifer-connelly kagiso-kuypers arnold-vosloo antony-coleman benu-mabhena anointing-lukola david-harewood basil-wallace jimi-mistry michael-sheen marius-weyers stephen-collins ntare-guma-mbaho-mwine ato-essandoh-1 david-s-lee percy-matsemela klemens-becker grant-swanby adetokumboh-mcormack tyrone-keogh mduduzi-mabaso nathaniel-ramabulana zenzo-ngqobe vanessa-haywood
blue-crush,john-stockwell,kate-bosworth matthew-davis michelle-rodriguez sanoe-lake mika-boorem chris-taloa kala-alexander ruben-tejada kaupena-miranda asa-aquino faizon-love fiji shaun-robinson paul-hatter tamayo-perry
honey,bille-woodruff,jessica-alba mekhi-phifer joy-bryant romeo-miller-3 david-moscow zachary-isaiah-williams missy-elliott anthony-sherwood lonette-mckee maestro-1 judi-embden alison-sealy-smith scott-neil sarah-francis jull-weber kevin-duhaney brandi-ward fonzworth-bentley tracy-dawson laurieann-gibson shawn-desman
josie-and-the-pussycats,deborah-kaplan harry-elfont,rachael-leigh-cook rosario-dawson tara-reid alan-cumming parker-posey gabriel-mann paulo-costanzo missi-pyle alexander-martin donald-faison seth-green breckin-meyer jr-bourne-2 tom-butler carson-daly-1 aries-spears faedragh-carpenter justin-chatwin marites-pineda kimberly-rimer corinne-reilly marnie-alton katharine-isabelle aeja-goldsmith nicole-fraissinet jessica-murdoch juliana-wimbles zak-santiago david-kopp sean-j-dory heather-robertson hiro-kanagawa kurt-max-runte claude-de-martino colin-foo balinder-johal enuka-okuma clay-st-thomas erin-fitzgerald linda-ko serena-altschul mark-seliger sally-hershberger jann-carl stuart-lilley chris-lovick natalye-vivian karalee-paterson dion-johnstone harry-elfont tamara-taggart anthony-creery shayn-solberg harmoni-everett kris-pope kevin-bergsma todd-talbot craig-taylor paul-becker-1 jay-williams-4 russ-leatherman kevin-blatch darren-daurie kenneth-edmonds eugene-levy taryn-oneill kennith-overbey jen-soska sylvia-soska-1 colette-squires
the-blues-brothers,john-landis,dan-aykroyd john-belushi james-brown-1 cab-calloway ray-charles aretha-franklin steve-cropper donald-duck-dunn murphy-dunne willie-hall tom-malone lou-marini matt-murphy alan-rubin carrie-fisher henry-gibson-1 john-candy kathleen-freeman john-lee-hooker tom-erhart gerald-walling walter-levine alonzo-atkins chaka-khan armand-cerami steven-williams-1 kristi-oleson gary-mclarty joe-cuttone layne-britton toni-fleming rosie-shuster paul-reubens ben-piazza gwen-banta lari-taylor cindy-fisher elizabeth-hoy tony-m-conde eugene-j-anthony dean-hill jack-orend gene-schuldt charles-mountain frank-oz john-landis gary-houston judith-belushi-pisano elmore-james stephen-bishop-1 charles-napier steven-spielberg curt-clendenin twiggy steve-lawrence
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,larry-charles,sacha-baron-cohen ken-davitian luenell pamela-anderson bob-barr alan-keyes carole-de-saram mitchell-falk david-corcoran andre-darnell-myers jean-pierre-parent chip-pickering
bottle-rocket-1996,wes-anderson,luke-wilson owen-wilson ned-dowd shea-fowler haley-miller robert-musgrave andrew-wilson brian-tenenbaum jenni-tooley temple-nash dipak-pallana darryl-cox stephen-dignan lumi-cavazos julie-mayfield don-phillips-jr anna-cifuentes donny-caicedo melinda-renna richard-reyes julio-cedillo teddy-wilson jim-ponds james-caan takayuki-kubota kumar-pallana haskel-craver jill-parker-jones nena-smarz-1 hector-garcia-2 daniel-r-padgett russell-towery ben-loggins linn-mullin
bowling-for-columbine,michael-moore,michael-moore george-h-w-bush george-w-bush dick-clark charlton-heston jacobo-arbenz mike-bradley arthur-a-busch michael-caldwell richard-castaldo bill-clinton steve-davis-2 ngo-dinh-diem mike-epstein joe-farmer matt-stone brooks-brown dick-herlan marilyn-manson chris-rock salvador-allende prince-andrew prince-charles
the-brave-little-toaster,jerry-rees,jon-lovitz timothy-stack phil-hartman deanna-oliver timothy-e-day thurl-ravenscroft joe-ranft judy-toll-1 wayne-kaatz colette-savage mindy-sterling jim-jackman jack-angel randy-cook-1 randy-bennett-1 jonathan-benair louis-conti
braveheart,mel-gibson,mel-gibson catherine-mccormack sophie-marceau patrick-mcgoohan angus-macfadyen brendan-gleeson james-robinson-1 james-cosmo sean-mcginley gerda-stevenson mhairi-calvey jeanne-marine sean-lawlor sandy-nelson alan-tall andrew-weir brian-cox-2 peter-hanly stephen-billington tommy-flanagan rupert-vansittart tam-white ian-bannen david-ohara peter-mullan david-gant malcolm-tierney martin-murphy-2 gerard-mcsorley bernard-horsfall richard-leaf liam-carney ralph-riach barry-mcgovern john-kavanagh alun-armstrong julie-austin-1 alex-norton michael-byrne william-scott-masson dean-lopata donal-gibson jimmy-chisholm-1 john-murtagh david-mckay niall-obrien martin-dempsey jimmy-keogh joe-savino mal-whyte paul-tucker graeme-ford greg-jeloudov rana-morrison jer-oleary joanne-bett robert-paterson-3 martin-dunne fred-chiverton daniel-coll bill-murdoch-2 phil-kelly
brazil,terry-gilliam,jonathan-pryce robert-de-niro katherine-helmond ian-holm bob-hoskins michael-palin ian-richardson terry-gilliam peter-vaughan kim-greist jim-broadbent derrick-oconnor roger-ashton-griffiths john-pierce-jones barbara-hicks charles-mckeown kathryn-pogson bryan-pringle nigel-planer terence-bayler gorden-kaye jack-purvis howard-lew-lewis john-flanagan sheila-reid ray-cooper brian-miller-1 simon-jones-1 derek-deadman bill-wallis myrtle-devenish ann-way don-henderson-1 oscar-quitak harold-innocent john-grillo ralph-nossek david-gant james-coyle patrick-connor
breakfast-at-tiffanys,blake-edwards,audrey-hepburn george-peppard patricia-neal buddy-ebsen martin-balsam jose-luis-de-villalonga john-mcgiver alan-reed dorothy-whitney beverly-powers stanley-adams claude-stroud elvia-allman mickey-rooney charles-sherlock miriam-nelson-1
the-break-up,peyton-reed,vince-vaughn jennifer-aniston joey-lauren-adams ann-margret jason-bateman judy-davis vincent-donofrio jon-favreau cole-hauser john-michael-higgins justin-long ivan-sergei keir-odonnell geoff-stults vernon-vaughn elaine-robinson jane-alderman jacqueline-williams-1 peter-billingsley jane-hu rebecca-spence mary-pat-green tiffany-l-addison jessica-vilchis lisa-pace samantha-albert susan-messing wayne-a-brown maynard-love william-dick jenna-hurt jessica-stramer ashley-giancola lanae-sahs sharon-vaughn nydia-rodriguez-terracina-1 phil-ridarelli rhett-miller murry-hammond ken-bethea philip-peeples eric-bradley eduardo-n-martinez chuck-stubbings
brewsters-millions-1985,walter-hill,richard-pryor john-candy lonette-mckee stephen-collins jerry-orbach pat-hingle tovah-feldshuh hume-cronyn joe-grifasi peter-jason david-white-1 ji-tu-cumbuka rick-moranis yakov-smirnoff lin-shaye grand-l-bush milt-kogan david-wohl jerome-dempsey
brick,rian-johnson,joseph-gordon-levitt nora-zehetner lukas-haas noah-fleiss matt-oleary emilie-de-ravin noah-segan meagan-good brian-j-white richard-roundtree
bridget-joness-diary,sharon-maguire,renee-zellweger colin-firth hugh-grant gemma-jones jim-broadbent james-callis sally-phillips shirley-henderson embeth-davidtz lisa-barbuscia celia-imrie james-faulkner charmian-may paul-brooke felicity-montagu neil-pearson honor-blackman patrick-barlow gareth-marks claire-skinner dolly-wells mark-lingwood sara-stockbridge donald-douglas-1 dominic-mchale joan-blackham toby-whithouse emma-amos-1 sulayman-al-bassam lisa-kay john-clegg renu-setna stewart-wright charlie-caine matthew-bates rebecca-charles-1 salman-rushdie jeffrey-archer-1 crispin-bonham-carter david-cann sarah-alexander
bridget-jones-the-edge-of-reason,beeban-kidron-1,renee-zellweger hugh-grant colin-firth jim-broadbent gemma-jones celia-imrie james-faulkner jacinda-barrett sally-phillips shirley-henderson james-callis neil-pearson jessica-hynes donald-douglas-1 charmian-may jeremy-paxman ian-mcneice paul-nicholls wolf-kahler catherine-russell-1 alex-jennings ting-ting-hu jason-watkins-1 vee-vimolmal pui-fan-lee dominic-mchale shirley-dixon-1 rosalind-halstead luis-soto tom-brooke alba-fleming-furlan lucy-robinson david-verrey mark-tandy stephanie-orourke flaminia-cinque trevor-fox michelle-lee-3 melissa-ashworth neil-dudgeon sam-hazeldine oliver-chris hon-ping-tang patrick-baladi david-cann
bringing-down-the-house,adam-shankman,steve-martin queen-latifah eugene-levy joan-plowright jean-smart kimberly-j-brown missi-pyle angus-t-jones michael-rosenbaum betty-white steve-harris-1 jim-haynie aengus-james jernard-burks bronzell-miller michael-ensign-1 matt-lutz-1 randy-oglesby jesse-corti smalls victor-webster-3 teddy-lane-jr vincent-m-ward tracey-cherelle-jones josh-waters anne-fletcher john-prosky alonzo-bodden seth-howard diana-carreno tim-stevenson-1 eddie-garcia-2 sundy-carter anne-bellamy robin-michelle-mcclamb walter-addison gina-morelli seth-altschull deezer-d kelly-price-1 candace-jackson erika-nuri faida-amana-brigham aminah-abdul-jillil barry-lee-youngblood cris-judd-2 oscar-orosco garland-spencer montrose-hagins laura-grady erik-betts christianna-carmine wahayn-inello-clayton joseph-j-dawson paul-hopkins daymond-johnson michelle-mcginty lucas-meyers bibi-nshimba
the-broadway-melody,harry-beaumont,charles-king-3 anita-page bessie-love betty-arthur j-emmett-beck nacio-herb-brown james-burrows-3 eddie-bush ray-cooke drew-demorest edward-dillon mary-doran arthur-freed paul-gibbons james-gleason-1 eddie-kane ches-kirkpatrick carla-laemmle eddie-lang carl-m-leviness angella-mawby claudette-mawby claudine-mawby charlotte-merriam joyce-murray blanche-payson alice-pitman jed-prouty marshall-ruth bill-seckler kenneth-thomson diana-verne dorothy-vernon alice-weaver dorothy-coonan-wellman
brokeback-mountain,ang-lee,heath-ledger jake-gyllenhaal michelle-williams anne-hathaway randy-quaid linda-cardellini anna-faris david-harbour roberta-maxwell peter-mcrobbie kate-mara graham-beckel mary-liboiron scott-michael-campbell marty-antonini dave-trimble larry-reese valerie-planche victor-reyes-1 lachlan-mackintosh tom-carey don-bland steven-cree-molison duval-lang dan-mcdougall dean-barrett kade-phillips steffen-cole-moser cheyenne-hill cayla-wolever sarah-hyslop jacey-kenny keanna-dube brooklynn-proulx hannah-stewart jake-church james-baker-2 pete-seadon jerry-callaghan ken-zilka john-tench will-martin-2 gary-lauder-1 christian-fraser cam-sutherland barb-mitchell rodrigo-prieto ken-roberts kailin-see jayson-therrien erika-walter lana-mclellan
brother-bear,aaron-blaise robert-walker,joaquin-phoenix jeremy-suarez jason-raize rick-moranis dave-thomas d-b-sweeney joan-copeland michael-clarke-duncan harold-gould paul-christie danny-mastrogiorgio estelle-harris greg-proops pauley-perrette bumper-robinson darko-cesar angayuqaq-oscar-kawagley sherry-lynn mickie-mcgowan frank-welker debi-derryberry
the-brothers-bloom,rian-johnson,rachel-weisz adrien-brody mark-ruffalo rinko-kikuchi robbie-coltrane maximilian-schell ricky-jay zachary-gordon max-records andy-nyman noah-segan nora-zehetner ram-bergman craig-johnson-2 dubravko-jovanovic esme-tyler jovan-vitas ana-sofrenovic vladimir-kulhavy alek-rodic josif-tatic slobodan-custic branka-pujic george-bocchetti elis-derham joseph-gordon-levitt lukas-haas
burn-after-reading,ethan-coen joel-coen,george-clooney frances-mcdormand brad-pitt john-malkovich tilda-swinton richard-jenkins elizabeth-marvel david-rasche jk-simmons olek-krupa michael-countryman kevin-sussman jr-horne hamilton-clancy armand-schultz raul-aranas pun-bandhu karla-mosley jeffrey-demunn richard-poe carmen-m-herlihy judy-frank sandor-tecsy-1 yury-tsykun brian-oneill-1 robert-prescott matt-walton lori-hammel crystal-bock patrick-boll logan-kulick dermot-mulroney robert-r-barry ted-bouton bob-bowersox oliver-buckingham michael-fawcett william-fowle charles-gemmill mitch-giannunzio cliff-goulet william-d-grey gary-henderson-1 ron-kidd bill-massof brian-mckeon ken-mcneill tim-miller-3 jay-parks roger-rathburn eric-richardson bart-wilder stephen-ananicz james-thomas-bligh matt-cannon kimberly-dorsey lil-rhee patrick-michael-strange liam-ferguson-1 matthew-james-gulbranson rj-konner douglas-nelson kevin-tan jacqueline-wright-1
butch-cassidy-and-the-sundance-kid,george-roy-hill,paul-newman robert-redford katharine-ross strother-martin henry-jones-1 jeff-corey george-furth cloris-leachman ted-cassidy kenneth-mars donnelly-rhodes jody-gilbert timothy-scott don-keefer charles-dierkop pancho-cordova nelson-olmsted paul-bryar sam-elliott charles-akins eric-sinclair
the-butterfly-effect,eric-bress j-mackye-gruber,ashton-kutcher melora-walters amy-smart elden-henson william-lee-scott eric-stoltz logan-lerman ethan-suplee nathaniel-deveaux kevin-schmidt-1 jesse-james-1 callum-keith-rennie irene-gorovaia john-patrick-amedori cameron-bright lorena-gale kendall-cross john-tierney ted-friend john-b-lowe camille-sullivan tara-wilson jesse-hutch bill-croft-1 kevan-ohtsji daniel-spink grant-thompson melanie-hall-1
the-cabin-in-the-woods,drew-goddard,kristen-connolly fran-kranz chris-hemsworth anna-hutchison richard-jenkins bradley-whitford jesse-williams brian-j-white amy-acker tim-dezarn-1 tom-lenk dan-payne jodelle-ferland dan-shea maya-massar matt-drake nels-lennarson rukiya-bernard peter-kelamis adrian-holmes chelah-horsdal terry-chen heather-doerksen patrick-sabongui phillip-mitchell naomi-dane ellie-harvie patrick-gilmore brad-dryborough emili-kawashima aya-furukawa maria-go serena-akane-chi abbey-imai marina-ishibashi miku-katsuura alicia-takase-lui jodi-tabuchi sara-taira alyssandra-yamamoto richard-cetrone phoebe-galvan simon-pidgeon matt-phillips lori-stewart greg-zach sigourney-weaver terry-notary
caddyshack,harold-ramis,chevy-chase rodney-dangerfield ted-knight michael-okeefe-1 bill-murray sarah-holcomb scott-colomby cindy-morgan dan-resin henry-wilcoxon elaine-aiken albert-salmi ann-ryerson brian-doyle-murray hamilton-mitchell peter-berkrot john-f-barmon-jr lois-kibbee brian-mcconnachie scott-powell-1 ann-crilley cordis-heard scott-sudden jackie-davis thomas-a-carlin minerva-scelza kenneth-burritt rebecca-burritt barbara-keegan scott-jackson-1 ron-frank-1 patricia-wilcox debi-frank tony-gulliver kim-bordeaux lori-lowe marcus-breece mark-chiriboga fred-buch frank-schuller mel-pape marge-mckenna bruce-mclaughlin dennis-mccormack violet-ramis judy-arman dr-dow paige-coffman donna-m-wiggin james-hotchkiss debbie-howard douglas-kenney john-murray-2 ted-swanson anna-upstrom
cadillac-records,darnell-martin,adrien-brody jeffrey-wright beyonce-knowles gabrielle-union columbus-short cedric-the-entertainer emmanuelle-chriqui eamonn-walker yasiin-bey valence-thomas jay-o-sanders norman-reedus aaron-munoz kevin-mambo chyna-layne albert-jones osas-ighodaro jordan-haynes suzette-gunn jill-flint-1 shiloh-fernandez eshaya-draper eric-bogosian tammy-blanchard tony-bentley veronika-dash dexter-darden-2 wade-mylius
capote,bennett-miller,philip-seymour-hoffman catherine-keener clifton-collins-jr bruce-greenwood bob-balaban mark-pellegrino marshall-bell amy-ryan bess-meyer chris-cooper allie-mickelson craig-archibald bronwen-coleman kate-shindle david-wilson-barnes michael-j-burg kwesi-ameyaw andrew-farago kelci-stephenson c-ernst-harth kjartan-hewitt-1
casablanca,michael-curtiz,humphrey-bogart ingrid-bergman paul-henreid claude-rains conrad-veidt sydney-greenstreet peter-lorre sz-sakall madeleine-lebeau dooley-wilson joy-page john-qualen leonid-kinskey curt-bois enrique-acosta ed-agresti louis-v-arco frank-arnold-3 leon-belasco nino-bellini oliver-blake monte-blue eugene-borden dick-botiller maurice-brierre sebastian-cabot anita-camargo george-m-carleton spencer-chan melie-chang tex-cooper gino-corrado franco-corsaro adrienne-dambricourt marcel-dalio helmut-dantine jean-de-briac george-dee jean-del-val carl-deloro joseph-devillard arthur-dulac william-edmunds herbert-evans fred-farrell adolph-faylauer ok-ford martin-garralaga gregory-gaye gregory-golubeff ilka-gruning creighton-hale winifred-harris jamiel-hasson-1 arthur-stuart-hull olaf-hytten charles-la-torre george-j-lewis manuel-lopez-1 jacques-lory lou-marcelle tony-martelli george-meeker lal-chand-mehra hercules-mendez louis-mercier torben-meyer alberto-morin leo-mostovoy corinna-mura barry-norton lotte-palfi-andor paul-panzer manuel-paris-2 alexander-pollard frank-puglia georges-renavent dewey-robinson richard-ryen dan-seymour lester-sharpe dina-smirnova gerald-oliver-smith george-sorel geoffrey-steele ludwig-stossel mike-tellegen rafael-trujillo jacques-vanaire ellinor-vanderveer norma-varden hans-heinrich-von-twardowski jack-wise wolfgang-zilzer trude-berliner paul-porcasi max-linder-1 frank-mazzola henry-rowland leo-white paul-irving brandon-beach victor-romito michael-mark bhogwan-singh
casino-royale,john-huston robert-parrish,david-niven peter-sellers ursula-andress orson-welles-1 joanna-pettet daliah-lavi deborah-kerr william-holden charles-boyer john-huston kurt-kasznar george-raft jean-paul-belmondo terence-cooper barbara-bouchet angela-scoular gabriella-licudi tracey-crisp elaine-taylor jacqueline-bisset alexandra-bastedo anna-quayle derek-nimmo ronnie-corbett colin-gordon bernard-cribbins tracy-reed-1 john-bluthal woody-allen burt-kwouk geoffrey-bayldon john-wells duncan-macrae chic-murray jonathan-routh percy-herbert jeanne-roland graham-stark vladek-sheybal richard-wattis penny-riley geraldine-chaplin caroline-munro anjelica-huston peter-otoole jack-gwillim
casper,brad-silberling,christina-ricci bill-pullman devon-sawa cathy-moriarty eric-idle joe-nipote joe-alaskey brad-garrett garette-ratliff-henson jessica-wesson amy-brenneman malachi-pearson chauncey-leopardi spencer-vrooman ben-stein don-novello terry-murphy ernestine-mercer doug-bruckner john-kassir wesley-thompson michael-dubrow jj-anderson jess-harnell michael-mccarty micah-winkelspecht mike-simmrin fred-rogers dan-aykroyd rodney-dangerfield clint-eastwood mel-gibson elise-main tony-stefano
cast-away,robert-zemeckis,tom-hanks helen-hunt chris-noth paul-sanchez lari-white leonid-citer david-allen-brooks semion-sudarikov peter-von-berg dmitri-s-boudrine nick-searcy francois-duhamel michael-forest-1 lauren-birkell yelena-popovic viveka-davis jennifer-choe nan-martin anne-bellamy dennis-letts wendy-worthington valerie-wildman john-duerler steve-monroe lisa-long elden-henson timothy-stack alice-vaughn joe-conley garret-davis-1 jay-acovone christopher-kriesa derick-alexander vsevolod-boldin jenifer-lewis
cat-on-a-hot-tin-roof,richard-brooks,elizabeth-taylor paul-newman burl-ives judith-anderson jack-carson madeleine-sherwood vaughn-taylor larry-gates zelda-cleaver brian-corcoran robert-rusty-stevens-1 hugh-corcoran
catch-22,mike-nichols,alan-arkin martin-balsam richard-benjamin art-garfunkel jack-gilford buck-henry bob-newhart anthony-perkins paula-prentiss martin-sheen jon-voight orson-welles-1 bob-balaban susanne-benton norman-fell charles-grodin austin-pendleton peter-bonerz jon-korkes john-brent-1 collin-wilcox-paxton-1 philip-roth bruce-kirby jack-riley felice-orlandi marcel-dalio evi-maltagliati elizabeth-wilson richard-libertini liam-dunn olimpia-carlisi wendy-dolive gina-rovere fernanda-vitobello
catch-me-if-you-can-2002,steven-spielberg,leonardo-dicaprio tom-hanks christopher-walken martin-sheen nathalie-baye amy-adams james-brolin brian-howe frank-john-hughes steve-eastin chris-ellis john-finn jennifer-garner nancy-lenehan ellen-pompeo elizabeth-banks guy-thauvette candice-azzara matthew-kimbrough joshua-boyd kaitlin-doubleday kelly-mcnair jonathan-dankner maggie-mellin thomas-kopache margaret-travolta jimmie-f-skaggs alex-hyde-white lilyan-chauvin eugene-fleming robert-ruth jennifer-manley james-morrison robert-symonds jennifer-kan robert-curtis-brown kelly-hutchinson steve-witting wendy-worthington jane-bodle j-patrick-mccormack brian-goodman ray-proscia sarah-lancaster jill-matson mike-baldridge joel-ewing ritchie-montgomery jim-antonio-1 angela-sorensen jonathan-brent benita-krista-nall shane-edelman andrew-meeks morgan-rusler jane-edith-wilson dave-hager kyle-davis patrick-thomas-obrien jaime-ray-newman deborah-kellner mercedes-cornett amy-acker robert-peters-1 james-dumont-1 thomas-crawford sarah-rush malachi-throne alfred-dennis max-kerstein donna-kimball-1 jan-munroe stephen-dunham brandon-keener jasmine-jessica-anthony anthony-powers lauren-cohn jeremy-howard jack-knight jamie-anderson kam-heskin ana-maria-quintana gerald-r-molen celine-du-tertre stan-bly jamie-moss-1 jessica-collins frank-abagnale-jr roger-leger jean-francois-blanchard mathieu-gaudreault guy-daniel-tremblay alex-bisping patrice-dussault paul-todd-1 jake-wagner-1 ashley-cohen kelly-cohen ellis-hall steven-meizler-1 fred-datig joe-garagiola-sr kitty-carlisle dominic-bond jean-francois-brousseau francis-campeau raphael-cardin marc-antoine-cote antoine-drolet-dumoulin leon-dussault-gagne simon-houle-gauthier vincent-genereux sebastien-jean pascal-larouche william-lauzon florent-legault jason-mcnally julien-normandeau david-parent-laliberte alexandre-pepin nicolas-radeschi jonathan-rene samuel-st-amour jesse-heiman
center-stage,nicholas-hytner,amanda-schull zoe-saldana susan-may-pratt peter-gallagher scottie-thompson maryann-plunkett ethan-stiefel sascha-radetsky donna-murphy megan-pepin debra-monk elizabeth-hubbard eion-bailey marcia-jean-kurtz
chaplin,richard-attenborough,robert-downey-jr geraldine-chaplin paul-rhys john-thaw moira-kelly anthony-hopkins dan-aykroyd marisa-tomei penelope-ann-miller kevin-kline maria-pitillo milla-jovovich kevin-dunn deborah-moore-2 diane-lane nancy-travis james-woods david-duchovny john-standing matthew-cottle michael-cade ph-moriarty-1 howard-lew-lewis
chicago,rob-marshall,renee-zellweger catherine-zeta-jones queen-latifah richard-gere christine-baranski c-3 taye-diggs cliff-saunders dominic-west colm-feore chita-rivera susan-misner denise-faye deidre-goodwin mya ekaterina-chtchelkanova lucy-liu jonathan-whittaker-1 sean-mccann-1 jayne-eastwood robert-norman-smith jeff-clarke kathryn-zenna marty-moreau patrick-salvagna vicky-lambert-1 tara-nicole-hughes mary-ann-lamb cynthia-onrubia karine-plantadit kelsey-chace catherine-chiarelli karen-holness amber-kelly-mackereth jodi-mcfadden paul-becker-1 blake-mcgrath michelle-johnston
a-christmas-story-1983,bob-clark,melinda-dillon darren-mcgavin peter-billingsley jean-shepherd ian-petrella scott-schwartz rd-robb zack-ward yano-anaya tedde-moore jeff-gillen leigh-brown bob-clark leslie-carlson jim-hunter
cinderella-man,ron-howard,russell-crowe renee-zellweger paul-giamatti craig-bierko paddy-considine bruce-mcgill david-huband connor-price ariel-waller patrick-louis rosemarie-dewitt linda-kash nicholas-campbell gene-pyrz chuck-shamata ron-canada matthew-g-taylor rance-howard james-ritz fulvio-cecere clint-howard ken-james-3 rufus-crawford-1 wayne-gordon nick-alachiotis stuart-clark eric-fink sergio-di-zio gavin-grazer boyd-banks daniel-kash judah-katz angelo-tsarouchas robert-smith-11 aaron-abrams duff-macdonald christopher-crumb gerry-quigley peter-macneill darrin-brown james-kirchner nola-augustson gino-marrocco alec-stockwell chick-roberts isabella-fink beau-starr philip-craig roman-podhora rd-reid michael-dyson sam-malkin tony-munch conrad-bergschneider richard-binsley ramona-pringle alon-nashman dominic-cuzzocrea neil-foster brian-jagersky tim-eddis krysta-carter rick-cordeiro riva-di-paola andrew-priestman michael-stevens-2 egidio-tari
citizen-kane,orson-welles-1,orson-welles-1 joseph-cotten dorothy-comingore ray-collins george-coulouris agnes-moorehead paul-stewart ruth-warrick erskine-sanford william-alland everett-sloane fortunio-bonanova gus-schilling philip-van-zandt georgia-backus harry-shannon sonny-bupp buddy-swan gregg-toland don-ackerman-1 nat-king-cole gino-corrado maurice-costello demetrius-alexis gene-coogan art-dupuis rudy-germane mike-lally walter-lawrence john-northpole victor-romito bob-terry william-alston jack-gargan bert-moorhouse carmen-laroux sam-ash buddy-messinger terrance-ray sally-corner-1 walter-bacon herbert-corthell-1 harry-a-bailey danny-borzage jj-clark-1 tom-coleman carl-deloro jack-egan robert-haines ludwig-lowry john-mccormack hercules-mendez paddy-oflynn sam-rice don-roberts larry-wheat larry-williams-2 joan-blair morgan-brown harry-burkhardt edmund-cobb eddie-coke louis-natheaux arthur-oconnell guy-repp tom-steele richard-wilson louise-currie walter-sande jan-wiley milton-kibbee buck-mack alan-ladd thomas-a-curran jack-curtis-1 george-noisom gerald-pierce donna-dax george-denormand bud-geary bert-lebaron clyde-mcatee cyril-ring roland-winters lew-harvey herman-j-mankiewicz eddie-dew perc-launders john-dilson walter-james robert-dudley suzanne-dulier al-eben johnny-eckert carl-ekberg edith-evanson carl-faulkner juanita-fields edna-mae-jones leda-nicova jolane-reynolds suzanne-ridgeway olin-francis louise-franklin renee-godfrey-1 peter-gowland jimmy-grant jesse-graves ernest-grooney jack-gwynne teddy-mangean henry-hebert bryan-slim-hightower mitchell-ingraham philip-morris francis-sayles george-w-jimenez ellen-lowe james-t-mack mickey-martin bruce-sidney major-mcbride frank-mclure charles-meakin edward-peil-jr irving-mitchell-1 frances-e-neal lillian-nicholson joseph-north william-h-obrien field-norton dick-scott frank-oconnor russ-powell bert-stevens thomas-pogue lillian-omalley jack-raymond-1 gohr-van-vleck myrtle-rishell benny-rubin shimen-ruskin george-sherwood edward-ryan landers-stevens harry-j-vejar tudor-williams arthur-yeoman tim-davis-1 charles-bennett-2 arthur-kay-1
clerks,kevin-smith,brian-ohalloran jeff-anderson jason-mewes kevin-smith lisa-spoonhauer marilyn-ghigliotti scott-mosier walt-flanagan scott-schiaffo david-klein ed-hapstak pattijean-csik john-henry-westhead kimberly-loughran grace-smith mitch-cohen
click,frank-coraci-1,adam-sandler kate-beckinsale christopher-walken david-hasselhoff henry-winkler julie-kavner sean-astin joseph-castanon jonah-hill jake-hoffman tatum-mccann lorraine-nicholson katie-cassidy cheyenne-alexis-dean cameron-monaghan jennifer-coolidge rachel-dratch nick-swardson jenae-altschwager sid-ganis billy-slaughter sophie-monk michelle-lombardo carolyn-hennesy jana-kramer willy-goldstein lily-mo-sheen rob-schneider-1 terry-crews elizabeth-decicco james-earl-jones jason-sandler
mr-deeds,steven-brill,adam-sandler winona-ryder john-turturro allen-covert peter-gallagher erick-avari jared-harris steve-buscemi conchata-ferrell peter-dante harve-presnell brandon-molale john-mcenroe blake-clark jb-smoove george-wallace gideon-jacobs al-sharpton rob-schneider-1
close-encounters-of-the-third-kind,steven-spielberg,richard-dreyfuss francois-truffaut melinda-dillon teri-garr bob-balaban j-patrick-mcnamara warren-j-kemmerling cary-guffey justin-dreyfuss lance-henriksen merrill-connally amy-douglass gene-dynarski-1 carl-weathers norman-bartold fj-oneil hal-barwood phil-dodds matthew-robbins gene-rader daniel-nunez chuy-franco luis-contreras galen-thompson john-dennis-johnston robert-broyles monty-jordan basil-hoffman stephen-powers george-dicenzo alexander-lockwood roberts-blossom josef-sommer bill-thurman james-keane-1 j-allen-hynek howard-k-smith adrienne-campbell philip-dodds shawn-bishop mary-gafrey michael-j-dyer roger-ernest randy-hermann david-anderson-1 richard-l-hawkins craig-shreeve roy-e-richards eumenio-blanco dennis-mcmullen cy-young tom-howard-2 richard-stuart bob-westmoreland matt-emery john-ewing kirk-raymond keith-atkinson
closer,mike-nichols,julia-roberts jude-law natalie-portman clive-owen colin-stinton nick-hobbs steve-benham elizabeth-bower ray-donn-1 daniel-dresner rrenford-junior-fagan antony-gabriel michael-haley selena-mars steve-morphew peter-rnic robert-stone-2 jacqui-lee-pryce
cloud-atlas,tom-tykwer lilly-wachowski,tom-hanks halle-berry jim-broadbent hugo-weaving jim-sturgess bae-doo-na ben-whishaw keith-david james-darcy zhou-xun david-gyasi susan-sarandon hugh-grant robert-fyfe martin-wuttke robin-morrissey brody-nicholas-lee zhu-zhu amanda-walker raevan-lee-hanan gotz-otto mya-lecia-naylor niall-greig-fulton louis-dempsey martin-docherty alistair-petrie sylvestra-le-touzel andrew-havill shaun-lawton victor-sole heike-hanold-lynch katy-karrenbauer thomas-kugel
