310-to-yuma-2007,2007
10-things-i-hate-about-you,1999
12-angry-men,1957
twelve-monkeys,1995
12-years-a-slave,2013
13-going-on-30,2004
27-dresses,2008
50-first-dates,2004
big-daddy,1999
300,2006
500-days-of-summer,2009
2001-a-space-odyssey,1968
20000-leagues-under-the-sea-1954,1954
abbott-and-costello-meet-dr-jekyll-and-mr-hyde,1953
abbott-and-costello-meet-frankenstein,1948
abbott-and-costello-meet-the-invisible-man,1951
abbott-and-costello-meet-the-mummy,1955
across-the-universe,2007
adaptation,2002
the-adventures-of-baron-munchausen,1988
airplane,1980
jamaica-inn,1939
sabotage,1936
the-39-steps,1935
easy-virtue,1928
alien,1979
all-about-eve,1950
all-that-jazz,1979
amadeus,1984
american-beauty,1999
american-graffiti,1973
an-american-in-paris,1951
american-psycho,2000
amour,2012
analyze-this,1999
analyze-that,2002
anchorman-the-legend-of-ron-burgundy,2004
anchorman-2-the-legend-continues,2013
angels-demons,2009
anger-management,2003
angry-video-game-nerd-the-movie,2014
animal-house,1978
annie-hall,1977
annihilation,2018
antonio-gaudi,1984
anywhere-but-here,1999
apocalypse-now,1979
apollo-13,1995
argo,2012
armageddon,1998
arrival-2016,2016
as-good-as-it-gets,1997
the-assassination-of-jesse-james-by-the-coward-robert-ford,2007
atonement,2007
austin-powers-in-goldmember,2002
austin-powers-international-man-of-mystery,1997
austin-powers-the-spy-who-shagged-me,1999
avatar,2009
the-aviator,2004
away-we-go,2009
babe,1995
balto,1995
bananas,1971
the-banger-sisters,2002
barefoot-in-the-park,1967
beasts-of-the-southern-wild,2012
the-beautician-and-the-beast,1997
a-beautiful-mind,2001
becoming-jane,2007
bedazzled-2000,2000
before-sunrise,1995
before-sunset,2004
begin-again,2013
being-john-malkovich,1999
being-there,1979
bend-it-like-beckham,2002
best-in-show,2000
bicentennial-man,1999
big,1988
the-big-lebowski,1998
the-big-sleep,1946
the-big-year,2011
the-birdcage,1996
birdman-or-the-unexpected-virtue-of-ignorance,2014
the-birds,1963
black-beauty-1994,1994
the-black-stallion,1979
black-swan,2010
blades-of-glory,2007
the-bqe,2007
the-blind-side,2009
blood-diamond,2006
blue-crush,2002
honey,2003
josie-and-the-pussycats,2001
the-blues-brothers,1980
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,2006
bottle-rocket-1996,1996
bowling-for-columbine,2002
the-brave-little-toaster,1987
braveheart,1995
brazil,1985
breakfast-at-tiffanys,1961
the-break-up,2006
brewsters-millions-1985,1985
brick,2005
bridget-joness-diary,2001
bridget-jones-the-edge-of-reason,2004
bringing-down-the-house,2003
the-broadway-melody,1929
brokeback-mountain,2005
brother-bear,2003
the-brothers-bloom,2008
burn-after-reading,2008
butch-cassidy-and-the-sundance-kid,1969
the-butterfly-effect,2004
the-cabin-in-the-woods,2011
caddyshack,1980
cadillac-records,2008
capote,2005
casablanca,1942
casino-royale,1967
casper,1995
cast-away,2000
cat-on-a-hot-tin-roof,1958
catch-22,1970
catch-me-if-you-can-2002,2002
center-stage,2000
chaplin,1992
chicago,2002
a-christmas-story-1983,1983
cinderella-man,2005
citizen-kane,1941
clerks,1994
click,2006
mr-deeds,2002
close-encounters-of-the-third-kind,1977
closer,2004
cloud-atlas,2012
cloudy-with-a-chance-of-meatballs,2009
cloudy-with-a-chance-of-meatballs-2,2013
clue,1985
clueless,1995
cold-mountain,2003
the-color-of-money,1986
the-constant-gardener,2005
contact,1997
cool-hand-luke,1967
coraline,2009
the-core,2003
the-count-of-monte-cristo-2002,2002
coyote-ugly,2000
crash-2004,2004
crazy-rich-asians,2018
crazy-stupid-love,2011
cream-royal-albert-hall-london-may-2-3-5-6-2005,2005
crouching-tiger-hidden-dragon,2000
the-crying-game,1992
the-curious-case-of-benjamin-button,2008
dances-with-wolves,1990
dantes-peak,1997
the-darjeeling-limited,2007
the-dark-crystal,1982
batman-begins,2005
the-dark-knight,2008
the-dark-knight-rises,2012
the-back-up-plan,2010
the-bounty-hunter,2010
how-do-you-know,2010
the-ugly-truth,2009
the-da-vinci-code,2006
the-day-after-tomorrow,2004
the-day-the-earth-stood-still,1951
dead-men-dont-wear-plaid,1982
the-lonely-guy,1984
dead-poets-society,1989
deadpool,2016
death-at-a-funeral,2007
the-deer-hunter,1978
the-departed,2006
the-devil-wears-prada,2006
dial-m-for-murder,1954
dinosaur,2000
dirty-dancing,1987
district-9,2009
divine-secrets-of-the-ya-ya-sisterhood,2002
the-diving-bell-and-the-butterfly,2007
django-unchained,2012
doctor-strange-2016,2016
dodgeball-a-true-underdog-story,2004
dog-day-afternoon,1975
the-apple-dumpling-gang,1975
the-apple-dumpling-gang-rides-again,1979
hot-lead-cold-feet,1978
gus,1976
donnie-darko,2001
dont-say-a-word,2001
double-jeopardy-1999,1999
dragon-ball-mystical-adventure,1988
dragon-ball-the-path-to-power,1996
dragon-ball-sleeping-princess-in-devils-castle,1987
dreamgirls,2006
driving-miss-daisy,1989
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,1964
dumb-and-dumber,1994
dumb-and-dumberer-when-harry-met-lloyd,2003
edward-scissorhands,1990
elf,2003
enchanted,2007
enough,2002
envy,2004
erin-brockovich,2000
eternal-sunshine-of-the-spotless-mind,2004
europa-report,2013
everafter,1998
